index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,20049,2177,6175,3879,0.0,0.0,0.0,0.0,0.0
3,20918,2781,7495,4212,0.0,0.0,0.0,0.0,0.0
4,0,2991,8610,5240,0.0,0.0,0.0,0.0,0.0
