index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
5,6589,2434,5826,3518,0.0,0.0,0.0,0.0,0.0
6,14814,2862,6720,4064,0.0,0.0,0.0,0.0,0.0
7,14395,3033,7395,4002,0.0,0.0,0.0,0.0,0.0
8,0,3302,8264,5063,0.0,0.0,0.0,0.0,0.0
