thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
44710,2369,7128,4199,0.0,0.0,0.0,0.0,0.0,44710
0,2273,8240,5467,0.0,0.0,0.0,0.0,0.0,44710
