thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
41852,2406,6733,4119,0.0,0.0,0.0,0.0,0.0,41852
0,2334,8433,5083,0.0,0.0,0.0,0.0,0.0,41852
