thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
40520,2435,6854,3965,0.0,0.0,0.0,0.0,0.0,40520
0,2339,8627,4907,0.0,0.0,0.0,0.0,0.0,40520
