index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
9,9658,1866,5949,3223,0.0,0.0,13.128765465314416,203.83554088383613,3.8208030968032904
10,12755,2199,6602,3529,3.8396060220107273,69.87382922730139,63.398407868479175,250.19322930415655,4.225046844122335
11,13705,3117,7134,4021,3.0108713283406328,146.0116354959828,33.91123322908039,261.1518677471901,3.1376647323792346
12,6596,3136,7058,4423,3.5906849650106905,14.879046710995121,48.92735103437,109.0640757861412,4.75798502491719
13,0,2802,8144,5424,2.7991542814603854,163.18841677695727,78.5191631236356,270.0686452963148,7.344806509812752
