index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
14,7240,2407,5576,3476,0.0,0.0,77.60639221142974,19.083290229207588,5.933050015139856
15,13413,2115,6583,3808,2.980201714852282,269.12066044448426,16.402173544523908,266.52466240803165,4.760946426369978
16,8038,2222,6716,3989,4.403254729070777,223.03182144142107,15.942127789833668,124.78634681890071,6.764939365221935
17,9586,2618,7831,4014,2.8512061145425225,116.88080817219036,46.80313667509682,252.93209371783098,3.3871068873006975
18,9013,3270,7404,4489,4.18714214179713,169.38149387465992,11.278162388780244,224.19309702488349,7.666313433551176
19,0,3054,8218,5105,6.209301819319323,183.36177222396904,21.04299064961271,339.0505781422153,2.275760656797711
