index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
14,8303,1876,5989,3245,0.0,0.0,9.500998773383058,83.73874234351103,4.824838324146707
15,7746,2345,6817,3209,3.9092599758373234,164.99410190916493,43.221163298021246,131.5045230152883,4.254863515217439
16,9808,2817,6917,3593,4.32936921948524,47.3539158327174,13.373956713717762,175.64956710489665,3.8168612913417497
17,14848,2811,7251,3958,4.234040695600742,64.41599382154536,21.5286236954117,81.76044075703773,6.109675736030373
18,7446,2854,7420,4173,4.080782391318062,105.93220258637017,62.804936573917644,263.9949767148943,6.063416655431176
19,0,3080,7951,4367,4.770285036473611,16.775688496906266,59.7855041110012,56.08395016614027,9.95010744523761
