all,good_distrib
AKVQ,0,
AP3N,0,
ARVN,0,
AXF,0,
BLKN,BLKN,
BULN,BULN,
CNF,CNF,
CRLN,0,
CTSN,CTSN,
DORN,DORN,
EUNU,0,
FCC,FCC,
GIFN,0,
IBFB,0,
IGLN,0,
ILON,ILON,
INUQ,0,
JOSN,0,
KJKQ,0,
KUGN,KUGN,
LAIN,0,
MANN,MANN,
MARN,0,
MCF,0,
MCMN,MCMN,
MRYN,0,
NOTN,0,
NUNN,0,
POIN,0,
QILN,QILN,
RES,0,
SAKN,SAKN,
SEDN,0,
SHMN,0,
SHWN,SHWN,
SMLN,SMLN,
SNKN,0,
SRLN,SRLN,
STLN,0,
TQF,0,
WAGN,0,
YRTN,0,
