station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,std_percentage,upper_vp_avg,upper_vp_std,vp%,upper_vs,upper_vs_std,vs%, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
FCC,Hearne,58.7592,-94.0884,2,GOOD,18,41606.06088,2941.449237,7.069761412,6577.439029,481.505681,7.320564719,3726.787425,276.9234506,7.430621043,0.15,44937.13292,2970.420715,6023.552601,4046.42195,22.59382527,148.708853,1.489768457,4.358932403,32.29643083,0.16,12042.64423,2223.577489,6396.277129,3840.734193,28472.41776,2984.482404,6988.528472,3462.377015,1.809876128,133.3689122,11.13240165,335.415677,2.253860377,7.100269703,16.5562927,0.15,13983.851,2445.191563,6063.5209,3555.160147,12170.97897,2997.496411,7421.790317,3186.595909,7.193182086,42.09780595,25.77470764,144.5060337,5.39249604,13211.15776,2851.291509,7293.599298,3906.44804,1.54728678,153.3001934,33.64905624,222.3305236,0.836369751,2.552891768,18.85000628
GIFN,Rae,69.9945,-81.638,3,BAD,5,40993.36148,3350.412115,8.173060208,6583.321132,193.9682975,2.946359347,3834.860373,167.8171274,4.376094852,0.17,43111.47256,2680.286152,6528.802637,3973.065453,0,0,0,0,0,0.15,11850.53388,2256.680353,5990.556858,3883.944149,30887.42422,2863.036841,7108.779383,3883.176089,0,0,0,0,0,0,0,0.17,11830.72086,2392.308325,6167.1296,3567.213391,10532.72076,2865.274632,7153.398847,3755.803881,0,0,0,0,0,14767.21216,3224.737468,6105.640039,3636.149197,0,0,0,0,0,0,0
IBFB,Northern,80.605003,-79.576668,3,BAD,10,36365.40016,1308.048354,3.596958504,6233.422082,162.2508807,2.602918246,3667.625561,122.6064614,3.342938349,0.23,37634.36809,2681.113682,6068.160922,3785.119571,0,0,0,0,0,0.21,25524.40062,2002.389168,6404.504481,3660.008624,10915.93844,2908.276731,6364.380387,3717.664028,0,0,0,0,0,0,0,0.21,11985.0887,2332.250639,6236.792985,3387.994166,12543.20255,2233.386853,6378.046602,3526.871737,0,0,0,0,0,10493.20208,3013.50572,6077.379607,3730.90403,0,0,0,0,0,0,0
IGLN,Northern,69.3712,-81.8243,3,BAD,2,37112.48639,2143.469308,5.775601466,6568.98572,199.7023937,3.040079584,3770.808694,217.3318183,5.763533394,0.15,38210.26371,2969.241497,6647.466401,3909.904537,0,0,0,0,0,0.14,20952.06688,2510.131765,6510.020765,3883.777755,17532.63064,2949.212375,6965.501962,3880.213677,0,0,0,0,0,0,0,0.14,10294.13054,2420.120278,6013.949762,3456.067825,10718.0138,2846.352009,7090.728542,3441.531798,0,0,0,0,0,13630.3536,3243.497031,6000.914329,3630.920105,0,0,0,0,0,0,0
ILON,Rae,69.3712,-81.8243,3,GOOD,25,38173.42732,2598.371933,6.806755681,6546.956227,51.21852984,0.782325833,3799.193607,288.3411481,7.589535517,0.16,39982.33827,2992.76181,6497.101728,4023.814584,23.1383764,53.10526585,0.28326758,7.867895197,70.21210055,0.14,11479.60648,2686.476532,7383.944369,3894.872092,27862.38673,2965.789908,6198.398707,3901.717861,5.736201139,257.6200631,43.86182588,163.8624608,0.02463648,0.000535082,54.98358327,0.14,9570.290999,1842.167043,5891.5928,3507.359237,14216.21523,2982.834161,7409.21454,3551.992642,2.153297126,64.75598224,0.711196585,39.33130951,1.749583259,11409.44425,3384.855741,6184.195683,3348.980572,5.429104703,296.6558149,15.79710362,119.2410232,0.534862556,2.414053323,48.61773858
INUQ,Superior,58.4509,-78.1186,4,BAD,3,41023.88643,3331.358163,8.120532822,6632.150099,370.7946924,5.590867017,3679.925158,281.9336593,7.661396554,0.17,43927.04799,2987.561036,7060.269393,3890.78414,0,0,0,0,0,0.17,31420.24269,2277.96429,6318.095202,3728.496575,10337.62625,2687.323949,6741.849269,3974.102103,0,0,0,0,0,0,0,0.16,12872.93855,2336.121689,6079.084905,3297.184579,13534.16671,2504.120857,6587.871446,3173.85529,0,0,0,0,0,10979.6371,3174.396163,6589.552584,3662.052915,0,0,0,0,0,0,0
JOSN,Hearne,63.1622,-91.542,4,BAD,6,36751.80292,1597.84062,4.347652341,6626.405204,73.21032628,1.104827188,3782.649914,148.3944259,3.923028281,0.17,37631.1295,2862.49434,6565.50327,3885.75296,0,0,0,0,0,0.17,10901.72757,2914.702629,6382.91002,3745.824708,26815.11247,2924.866534,6696.813608,3891.823218,0,0,0,0,0,0,0,0.16,12332.10078,2234.766313,5919.911301,3513.93345,12416.06107,2499.628391,7273.911802,3624.810452,0,0,0,0,0,10159.27738,3169.278266,6971.746437,3717.353876,0,0,0,0,0,0,0
KUGN,Rae,68.0898,-90.0616,4,GOOD,12,32697.69816,3452.283132,10.55818399,6601.218824,97.50421211,1.477063777,3671.292603,121.6839012,3.314470251,0.12,31265.71194,2952.293871,6632.932534,3644.243762,10.33115822,189.3673965,6.83698765,5.779665676,9.197485192,0.12,30507.29517,2450.009047,6591.40837,3772.429194,6128.246569,2713.646612,7114.554224,3962.508538,7.34839317,12.92684246,35.10757663,8.311687357,3.046091214,4.287852083,300.5970168,0.11,12738.40282,2378.92582,6011.401584,3578.72684,5028.477029,2819.279945,6856.946696,3478.015235,3.679697147,349.4629003,23.77531523,131.8674721,2.769074345,12424.96096,3154.073663,6836.553813,3587.12447,7.405060592,121.0003852,11.18485587,186.4001153,4.6232583,0.079921581,291.6948402
LAIN,Rae,69.1086,-83.5361,4,BAD,7,40114.76464,3936.620673,9.813395911,6815.336268,450.8094142,6.614632006,3599.014788,375.4388106,10.4317107,0.17,44443.75177,2806.151753,7332.491447,4020.441651,0,0,0,0,0,0.14,15910.41465,2922.619089,6542.852828,3810.152505,23240.64163,2804.593003,6652.867669,3247.842954,0,0,0,0,0,0,0,0.13,10080.29853,2121.979759,6073.062847,3501.967335,14808.24697,2837.011907,7050.060926,3141.71967,0,0,0,0,0,11860.94036,3049.086974,6192.699202,3326.724851,0,0,0,0,0,0,0
MANN,Hearne,62.289333,-79.591835,4,GOOD,11,33724.14932,553.933694,1.642543119,6690.195818,48.01088727,0.717630523,3536.600787,66.46098936,1.879233574,0.14,33291.53057,2993.540464,6634.760827,3607.015734,39.98152679,29.35663358,2.853763719,6.891667453,298.1669987,0.12,9173.281967,2355.620801,5928.509024,3348.913523,24359.16534,2958.804345,7015.901464,3522.436397,3.735884207,294.3876649,17.5520708,111.5195575,1.179111017,1.183024487,330.9027396,0.11,8668.584685,2186.15618,6166.336928,3418.153982,12109.47186,2916.519972,7392.673742,3680.045279,1.842678375,283.94264,21.47724699,111.8047627,3.16885846,13570.41355,3101.463614,6466.827255,3462.035569,5.88194198,127.096603,32.32110858,90.14034494,0.948239287,1.431912155,19.05358517
