station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,std_percentage,upper_vp_avg,upper_vp_std,vp%,upper_vs,upper_vs_std,vs%, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
SHMN,Hearne,64.576668,-84.114517,3,BAD,6,34980.51321,1446.145768,4.134146802,6418.007148,122.4400188,1.907757595,3544.423003,107.1504038,3.023070431,0.11,36262.38401,2972.227498,6559.041216,3607.63134,0,0,0,0,0,0.1,18055.83128,2399.365033,5912.883835,3668.467261,17210.53832,2844.23793,6785.862326,3538.27514,0,0,0,0,0,0,0,0.11,9449.879864,2433.182273,6313.753488,3519.529381,14557.16027,2933.359534,6191.76986,3422.588762,0,0,0,0,0,9405.745886,3086.885388,6652.867861,3318.505676,0,0,0,0,0,0,0
SHWN,Hearne,63.775139,-85.088692,4,GOOD,7,36773.07359,2504.663262,6.811133848,6453.725019,152.8116377,2.367805217,3692.560756,300.75551,8.144903491,0.17,38779.44931,2659.163654,6627.814592,3951.384239,20.24851752,96.28228895,0.671860521,2.517978779,92.94857165,0.16,10314.02927,2676.325814,6370.359944,3886.564168,27259.79116,2976.851195,6330.939076,3717.182059,6.667196372,146.8292454,30.76704298,75.97381388,2.705384196,4.731007594,65.49668192,0.14,9353.840285,2131.553231,5964.251474,3544.921841,14954.39911,2798.888112,6021.887494,3246.084839,4.287654916,158.3808893,18.65613835,50.03353985,6.965956741,9657.711632,3223.892581,7377.981687,3366.503778,5.539455474,307.9718376,25.11629491,85.69976502,2.14212132,7.960572582,55.53096906
SMLN,Rae,68.5936,-91.9364,2,GOOD,5,38616.62991,4775.527197,12.3665043,6825.545302,326.4377573,4.782588685,3755.332053,180.6220856,4.809750059,0.13,41638.39721,2986.049754,7199.22017,3926.300436,40.88306028,139.408675,7.300979079,2.584098979,338.3292268,0.14,18347.87639,2656.617305,6120.146633,3877.179995,22752.53529,2984.232012,7134.302607,3689.524455,4.43346229,202.2032264,17.56438645,227.1124765,0.440512935,1.134867221,254.0056923,0.13,14523.73298,2452.560461,6026.898414,3564.179666,10887.55128,2962.242379,7154.977707,3332.846035,2.824052157,204.1321833,0.488360996,38.9550409,1.468404191,7699.796584,2964.764925,6878.41828,3900.829668,2.003650956,358.5600383,15.84943926,171.7361342,0.797696681,1.400948,267.5761797
SRLN,Rae,68.5513,-83.3238,3,GOOD,10,38142.45698,2762.726802,7.243179966,6411.859174,477.7851796,7.451585672,3828.918983,235.5297347,6.151337642,0.14,40630.51873,2904.912925,6063.926593,4007.043466,11.05294229,211.124244,5.259957648,3.254017288,56.40677036,0.12,17140.08142,2776.221945,6624.945694,3841.307376,21487.45455,2714.832631,7221.182883,3978.888264,7.221801281,4.286623412,25.69796492,228.8722674,0.223674724,2.88928209,196.1330083,0.12,7553.088348,2072.790375,5998.983043,3520.413422,13376.18892,2936.032202,6327.108032,3967.20406,4.301738668,246.1893065,5.46053368,221.0258835,7.46987331,14240.03897,3243.346929,6224.356277,3203.122806,6.006631524,167.8615094,11.20781616,165.8403167,2.807799014,2.535375028,184.3674039
STLN,Rae,67.3116,-92.9849,4,BAD,2,40254.94812,1742.94569,4.329767572,7117.806486,386.2324438,5.426284693,3822.154575,176.8573132,4.62716276,0.13,42045.85417,2985.168162,7456.743041,4017.424617,0,0,0,0,0,0.12,11319.47235,2054.169896,6552.281319,3864.439269,28835.22795,2878.303776,7453.389367,3741.693622,0,0,0,0,0,0,0,0.11,10080.32156,2189.746108,6218.261229,3568.855152,13980.91557,2564.115128,6542.48491,3881.988648,0,0,0,0,0,14503.05276,3394.923508,7179.513322,3543.240077,0,0,0,0,0,0,0
TQF,Northern,81.41333,-76.845001,4,BAD,1,40504.04926,4317.938588,10.6605109,6307.755665,386.911267,6.133897499,3674.109489,110.1683496,2.998504806,0.21,42980.34511,2295.692597,6003.87649,3721.630023,0,0,0,0,0,0.16,20966.0138,2965.420032,6546.351145,3602.416114,22047.62857,2295.506299,5823.953699,3895.303478,0,0,0,0,0,0,0,0.15,9725.855994,1510.792422,5910.179691,3023.221368,11936.6836,2990.141724,7281.30974,3937.87881,0,0,0,0,0,13855.62072,2887.156913,6864.658154,3580.882629,0,0,0,0,0,0,0
WAGN,Rae,65.8792,-89.4445,3,BAD,4,35790.08198,1532.842856,4.282870481,6902.609886,234.1054603,3.391549923,3701.489192,145.5261978,3.931558091,0.14,36836.80235,2906.057284,7031.168258,3823.593176,0,0,0,0,0,0.13,9474.837227,2120.073514,6174.913693,3685.220397,27027.96287,2802.581781,7349.025289,3759.765712,0,0,0,0,0,0,0,0.13,8673.720471,2397.162628,6088.223997,3494.247902,11308.78171,2771.291374,6683.914523,3570.534856,0,0,0,0,0,14048.14131,3215.726973,6926.905848,3544.777535,0,0,0,0,0,0,0
YRTN,Hearne,62.8102,-92.1095,2,BAD,2,33180.69473,2349.308834,7.080348538,7036.690602,208.7020235,2.96591161,3642.730794,208.8643135,5.733729045,0.13,35759.01153,2977.257458,7272.984834,3873.520062,0,0,0,0,0,0.13,23307.89324,2674.546947,7021.469253,3396.404214,9314.029171,2737.991893,6804.54793,4067.355961,0,0,0,0,0,0,0,0.13,13955.47704,2441.438697,6274.956476,3480.895372,8466.849312,2584.225319,7448.280054,3217.841151,0,0,0,0,0,8738.823883,2863.448837,7286.901814,3685.150496,0,0,0,0,0,0,0
AVERAGE,,67.97002763,-85.16434005,,X,8.236842105,37172.95917,2455.327656,,6613.307703,,,3737.968278,,,0.157105263,38647.05161,2897.107168,6672.945454,3881.546206,10.30602989,57.13252921,1.270729152,1.657395335,46.71826293,0.146315789,18730.6061,2543.06482,6441.669793,3760.382671,19425.13872,2856.964195,6769.634563,3808.938085,2.216258068,70.01151593,10.50925011,62.82092401,0.870262325,1.164344536,62.504931,0.139736842,10393.19159,2197.367845,6086.708441,3468.626376,12151.09355,2772.68168,6766.702731,3606.318632,1.540579152,78.32019624,5.433051175,46.60575511,1.724252486,12171.79594,3171.661834,6708.867951,3555.434646,1.900503061,84.9814028,8.459626817,68.45152183,0.885253529,1.084457893,62.57265246
STDEV,,6.70489449,6.338211835,,X,6.968788372,3021.928338,1628.059905,,,,,,,,0.03012657,3887.079868,143.6794416,397.4429956,144.6286011,15.74411627,82.28001846,2.290894052,2.527348555,91.01768151,0.025513224,7889.516142,308.7276013,360.7199887,132.6081475,7686.278003,130.0168601,508.367795,178.4634007,2.972079725,109.8464947,15.02441425,103.8157035,1.484658227,1.955925384,105.5302724,0.024658406,2406.675208,229.1825648,150.7126483,141.0386889,2373.959634,175.6852529,484.55465,251.5842366,2.185460734,115.6726249,8.870943683,80.7112403,2.61639882,2170.346816,181.8744688,424.7810132,243.7344234,2.718194319,124.1085366,12.67961813,98.51914734,1.389381913,1.9571874,106.8555838
