index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
14,11969,2590,5912,3579,0.0,0.0,46.714681688043484,50.03888090103626,5.3118467434333025
15,9260,2720,6136,3725,5.283993427094504,15.379998288897083,44.128137517097386,150.5966852238797,3.7136813469595693
16,9892,3049,7161,3461,4.0762113396797535,148.38395506556853,62.73001179248678,83.05120404598514,3.752471895189521
17,6941,3106,6928,4040,2.5560163698598948,151.89323031783806,14.296215846612743,87.52960629775814,2.80679347379271
18,9017,3214,7462,4749,2.9637962042622243,317.64730685250055,55.4788834853602,183.35947216208618,3.159505494727851
19,0,3464,8268,4773,4.709426116083858,206.91925627744493,12.19436745475059,182.55326978618137,6.707353610867218
