sta,lat,lon,depth,vp,vs,rho,ani,model_layers,dip,strike,plunge,trend
STLN,67.31,-92.98,4000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,6000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,8000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,10000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,12000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,14000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,16000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,18000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,20000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,22000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,24000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,26000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,28000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,30000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,32000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,34000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,36000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,38000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,40000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,42000.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,43897.0,7114.0,4245.0,2228.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,44000.0,8549.0,5242.0,2260.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,46000.0,8549.0,5242.0,2260.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,48000.0,8549.0,5242.0,2260.0,0.0,2,0.0,0.0,0.0,0.0
STLN,67.31,-92.98,50000.0,8549.0,5242.0,2260.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,0.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,2000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,4000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,6000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,8000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,10000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,12000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,14000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,16000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,18000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,20000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,22000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,24000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,26000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,28000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,30000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,32000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,34000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,36000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,38000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,40000.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,40328.0,6249.0,3680.0,2206.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,42000.0,8745.0,4612.0,2322.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,44000.0,8745.0,4612.0,2322.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,46000.0,8745.0,4612.0,2322.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,48000.0,8745.0,4612.0,2322.0,0.0,2,0.0,0.0,0.0,0.0
GIFN,69.99,-81.64,50000.0,8745.0,4612.0,2322.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,0.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,2000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,4000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,6000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,8000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,10000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,12000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,14000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,16000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,18000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,20000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,22000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,24000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,26000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,28000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,30000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,32000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,34000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,36000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,38000.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,39946.0,7440.0,4412.0,2009.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,40000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,42000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,44000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,46000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,48000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
WAGN,65.88,-89.44,50000.0,8583.0,5292.0,2333.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,0.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,2000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,4000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,6000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,8000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,10000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,12000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,14000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,16000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,18000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,20000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,22000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,24000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,26000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,28000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,30000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,32000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,34000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,36000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,38000.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,38684.0,6756.0,3851.0,2457.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,40000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,42000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,44000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,46000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,48000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
JOSN,63.16,-91.54,50000.0,8231.0,4812.0,2267.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,0.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,2000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,4000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,6000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,8000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,10000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,12000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,14000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,16000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,18000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,20000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,22000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,24000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,26000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,28000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,30000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,32000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,34000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,36000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,38000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,40000.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,40520.0,6854.0,3965.0,2435.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,42000.0,8627.0,4907.0,2339.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,44000.0,8627.0,4907.0,2339.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,46000.0,8627.0,4907.0,2339.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,48000.0,8627.0,4907.0,2339.0,0.0,2,0.0,0.0,0.0,0.0
SEDN,63.25,-91.21,50000.0,8627.0,4907.0,2339.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,0.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,2000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,4000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,6000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,8000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,10000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,12000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,14000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,16000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,18000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,20000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,22000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,24000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,26000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,28000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,30000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,32000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,34000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,36000.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,36016.0,6570.0,3753.0,2380.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,38000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,40000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,42000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,44000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,46000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,48000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
NUNN,65.21,-91.08,50000.0,8166.0,4687.0,2595.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,0.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,2000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,4000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,6000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,8000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,10000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,12000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,14000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,16000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,18000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,20000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,22000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,24000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,26000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,28000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,30000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,32000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,34000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,36000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,38000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,40000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
MANN,62.29,-79.59,42000.0,7782.0,4523.0,2049.0,0.0,2,0.0,0.0,0.0,0.0
