thickn,rho,vp,vs,dip,strike,plunge,trend,ani
32331.20676761557,2980.617776112028,7071.250191923558,3542.8739756199184,0.0,0.0,0.0,0.0,0.0
0.0,3500.0,8100.0,4500.0,0.0,0.0,0.0,0.0,0.0
