thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
11557,2420,5931,3444,0,0,0,0,0,11557
6613,2728,6002,3884,0,0,0,0,0,18170
7884,2818,7123,3565,0,0,0,0,0,26054
11747,2917,7769,4375,0,0,0,0,0,37801
0,3537,8150,4883,0,0,0,0,0,37801
