index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
14,8761,2155,5680,3421,0.0,0.0,65.6762047319815,40.144750631960264,5.200523824451507
15,6719,2769,5948,3442,2.8267578575462307,42.37397043511309,9.524661830699477,194.79680786958664,3.440041872492257
16,6837,2747,6221,3389,3.9457393768083864,9.028048455658704,73.42729178054442,25.892767372831635,5.4112584988198735
17,10677,2848,7020,3484,5.697099306971336,350.7043493483329,19.509027614653483,84.75409818254036,2.9473631785500665
18,9812,3256,7303,4352,3.5348613389771297,167.22753776053403,32.50126853419575,303.5143686859489,4.161725807045909
19,0,3267,8693,4752,5.6553006102099,64.82119279709448,15.426713531004665,338.9560177143906,6.579717857502981
