index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
9,6957,2550,6145,3257,0.0,0.0,42.09155389735364,67.53637107835465,3.980536703673264
10,11525,2703,6911,3604,4.276137518975846,146.86115480760947,53.002956658958,25.14266202082674,4.913655093175811
11,14683,3091,6659,3805,4.05042217964254,179.65125060938666,4.665513198326829,49.18284965079343,5.177103276208667
12,10555,2799,7419,4148,3.974968497070849,130.58046751832129,82.11191657002652,117.92272245585823,3.999194591658613
13,0,2851,7992,4678,3.9289894580461544,319.87296652584274,61.31996225216129,234.2564766789944,6.008324076669186
