thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
40004,2158,6538,3939,0.0,0.0,0.0,0.0,0.0,40004
0,2488,8899,4646,0.0,0.0,0.0,0.0,0.0,40004
