thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
41316,2489,7702,4320,0.0,0.0,0.0,0.0,0.0,41316
0,2247,8268,5222,0.0,0.0,0.0,0.0,0.0,41316
