thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
10487,2477,5927,3607,0,0,0,0,0,10487
19963,2824,7410,5050,0,0,0,0,0,30450
0,3024,8865,4562,0,0,0,0,0,30450
