thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
20994,2373,6476,3919,0,0,0,0,0,20994
18716,2790,7342,3978,0,0,0,0,0,39710
0,2804,8589,4866,0,0,0,0,0,39710
