thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
19501,2389,6333,3959,0,0,0,0,0,19501
24398,2909,6842,3821,0,0,0,0,0,43899
0,3017,8435,4511,0,0,0,0,0,43899
