thickn,rho,vp,vs,dip,strike,plunge,trend,ani,depth
5018,2521,6479,3008,0,0,0,0,0,5018
8061,2173,6498,3868,0,0,0,0,0,13079
12389,2549,6538,3723,0,0,0,0,0,25468
10484,2880,7974,4448,0,0,0,0,0,35952
0,2839,8785,5135,0,0,0,0,0,35952
