index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
0,41050,2142,7298,4219,0.0,0.0,35.07429982779456,194.89281165242156,3.716398332100576
1,0,2427,8771,5493,5.44831138030077,119.9782413189624,50.752391845896646,229.4316581059299,7.166258898156567
