index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
5,14443,2433,6133,3569,0.0,0.0,0.0,0.0,0.0
6,14508,2630,7110,3653,0.0,0.0,0.0,0.0,0.0
7,11907,2974,7903,4017,0.0,0.0,0.0,0.0,0.0
8,0,3188,8253,4881,0.0,0.0,0.0,0.0,0.0
