AKVQ 60.808 -78.1912
AP3N 69.4586 -84.4616
ARVN 61.0976 -94.0701
AXF 78.879997 -75.783333
BLKN 64.3185 -96.0024
BULN 66.3971 -93.1252
CNF 79.65667 -80.778328
CRLN 64.188797 -83.347832
CTSN 62.851799 -82.484642
DORN 64.229942 -76.530502
EUNU 80.0532 -86.4158
FCC 58.7592 -94.0884
GIFN 69.9945 -81.638
IBFB 80.605003 -79.576668
IBFE 80.605003 -79.576668
IGLN 69.369 -81.8175
ILON 69.3712 -81.8243
INUQ 58.4509 -78.1186
JOSN 63.1622 -91.542
KJKQ 55.2769 -77.7455
KUGN 68.0898 -90.0616
LAIN 69.1086 -83.5361
MANN 62.289333 -79.591835
MARN 71.326279 -79.373581
MCF 82.648331 -75.041672
MCMN 63.3043 -92.2977
MRYN 71.3328 -79.3795
NOTN 63.293659 -78.135452
NUNN 65.2146 -91.0784
POIN 72.7012 -77.962
QILN 66.6532 -86.3709
RES 74.6892 -94.8962
SAKN 56.5359 -79.2324
SEDN 63.2502 -91.2081
SHMN 64.576668 -84.114517
SHWN 63.775139 -85.088692
SMLN 68.5936 -91.9364
SNKN 56.5362 -79.2315
SNQN 56.5418 -79.2254
SRLN 68.5513 -83.3238
STLN 67.3116 -92.9849
TQF 81.41333 -76.845001
WAGN 65.8792 -89.4445
YBKN 64.3185 -96.0026
YRTN 62.8102 -92.1095
