index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
2,14828,2337,6403,3740,0.0,0.0,33.29202464213162,79.58245998361939,5.350094522208449
3,15940,2946,6863,4421,6.538182751168664,193.84904837210044,51.51220992626757,305.82469491154785,4.799633939088584
4,0,3405,8242,4665,4.74592716095545,20.218504215841143,26.77386351500755,339.1019241520467,2.914237388990663
