CRLN, 2
AXF, 2
CTSN, 3
YBKN, 2
CNF, 4
KJKQ, 3
SNKN, 3
POIN, 3
JOSN, 5
MCMN, 3
WAGN, 3
GIFN, 3
KUGN, 2
IGLN, 3
SHMN, 2
MANN, 2
QILN, 2
FCC, 2
IBFB, 5
SMLN, 2
EUNU, 3
SHWN, 3
ARVN, 2
RES, 5
TQF, 5
LAIN, 2
MCF, 4
NOTN, 2
SAKN, 4
AKVQ, 5
DORN, 2
YRTN, 4
SNQN, 5
BULN, 3
NUNN, 2
INUQ, 3
SEDN, 3
AP3N, 2
STLN, 2
MARN, 2
IBFE, 6
ILON, 2
BLKN, 5
SRLN, 3
