-84.4616,69.4586,316,316,AP3N
-94.0701,61.0976,96,96,ARVN
-75.783333,78.879997,,,AXF
-96.0024,64.3185,198,198,BLKN
-93.1252,66.3971,322,322,BULN
-80.778328,79.65667,140,140,CNF
-83.347832,64.188797,118,118,CRLN
-82.484642,62.851799,30,30,CTSN
-76.530502,64.229942,108,108,DORN
-86.4158,80.0532,0,0,EUNU
-94.0884,58.7592,178,178,FCC
-81.638,69.9945,358,358,GIFN
-79.576668,80.605003,96,96,IBFB
-81.8243,69.3712,86,86,ILON
-78.1186,58.4509,,,INUQ
-91.542,63.1622,34,34,JOSN
-90.0616,68.0898,280,280,KUGN
-83.5361,69.1086,146,146,LAIN
-79.591835,62.289333,142,142,MANN
-79.373581,71.326279,278,278,MARN
-75.041672,82.648331,,,MCF
-92.2977,63.3043,120,120,MCMN
-78.135452,63.293659,230,230,NOTN
-91.0784,65.2146,320,320,NUNN
-77.962,72.7012,262,262,POIN
-86.3709,66.6532,122,122,QILN
-94.8962,74.6892,278,278,RES
-79.2324,56.5359,150,150,SAKN
-91.2081,63.2502,112,112,SEDN
-84.114517,64.576668,56,56,SHMN
-85.088692,63.775139,296,296,SHWN
-91.9364,68.5936,224,224,SMLN
-83.3238,68.5513,28,28,SRLN
-92.9849,67.3116,32,32,STLN
-76.845001,81.41333,306,306,TQF
-89.4445,65.8792,130,130,WAGN
-92.1095,62.8102,30,30,YRTN
