index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
9,10044,2584,5882,3489,0.0,0.0,55.47230367252609,311.0861074513123,6.435876155312982
10,9401,2666,6734,3777,1.9856383563392286,238.84819495574777,21.41722710884529,61.329845067019384,3.2067057164924293
11,13953,2634,6803,3655,4.172063467587052,290.7577171019935,86.68195878363002,129.20450725276052,2.037732406151692
12,13521,3322,6727,4218,2.982633498331478,57.8893296992949,84.44241282186665,99.33026896436948,7.873335299901479
13,0,3499,8090,4601,3.090271535493612,92.30258846694889,2.091747811467837,187.93259609032592,5.249934831291668
