station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,depth%,Selected_Vp,Selected_Vs,SelectedVpVs,Anis,Dip,vp_avg,vp_std,vp%,vs_avg,vs_std,vs%,vp/vs, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
FCC,Hearne,58.759,-94.088,2,GOOD,18,41606,2941.4,7.07,6024,4046,1.49,1.5,4.4,6577,481.5,7.32,3727,276.9,7.43,1.76,0.15,44937.13,2970.42,6023.55,4046.42,22.59,148.71,1.49,4.36,32.3,0.16,12042.64,2223.58,6396.28,3840.73,28472.42,2984.48,6988.53,3462.38,1.81,133.37,11.13,335.42,2.25,7.1,16.56,0.15,13983.85,2445.19,6063.52,3555.16,12170.98,2997.5,7421.79,3186.6,7.19,42.1,25.77,144.51,5.39,13211.16,2851.29,7293.6,3906.45,1.55,153.3,33.65,222.33,0.84,2.55,18.85
GIFN,Rae,69.995,-81.638,3,BAD,5,40993,3350.4,8.17,6759,3883,1.74,0,0,6583,194,2.95,3835,167.8,4.38,1.72,0.17,43111.47,2680.29,6528.8,3973.07,0,0,0,0,0,0.15,11850.53,2256.68,5990.56,3883.94,30887.42,2863.04,7108.78,3883.18,0,0,0,0,0,0,0,0.17,11830.72,2392.31,6167.13,3567.21,10532.72,2865.27,7153.4,3755.8,0,0,0,0,0,14767.21,3224.74,6105.64,3636.15,0,0,0,0,0,0,0
IBFB,Northern,80.605,-79.577,3,BAD,10,36365,1308,3.6,6392,3677,1.74,0,0,6233,162.3,2.6,3668,122.6,3.34,1.7,0.23,37634.37,2681.11,6068.16,3785.12,0,0,0,0,0,0.21,25524.4,2002.39,6404.5,3660.01,10915.94,2908.28,6364.38,3717.66,0,0,0,0,0,0,0,0.21,11985.09,2332.25,6236.79,3387.99,12543.2,2233.39,6378.05,3526.87,0,0,0,0,0,10493.2,3013.51,6077.38,3730.9,0,0,0,0,0,0,0
IGLN,Northern,69.371,-81.824,3,BAD,2,37112,2143.5,5.78,6710,3882,1.73,0,0,6569,199.7,3.04,3771,217.3,5.76,1.74,0.15,38210.26,2969.24,6647.47,3909.9,0,0,0,0,0,0.14,20952.07,2510.13,6510.02,3883.78,17532.63,2949.21,6965.5,3880.21,0,0,0,0,0,0,0,0.14,10294.13,2420.12,6013.95,3456.07,10718.01,2846.35,7090.73,3441.53,0,0,0,0,0,13630.35,3243.5,6000.91,3630.92,0,0,0,0,0,0,0
ILON,Rae,69.371,-81.824,3,GOOD,25,38173,2598.4,6.81,6503,3900,1.67,0,0,6547,51.2,0.78,3799,288.3,7.59,1.72,0.16,39982.34,2992.76,6497.1,4023.81,23.14,53.11,0.28,7.87,70.21,0.14,11479.61,2686.48,7383.94,3894.87,27862.39,2965.79,6198.4,3901.72,5.74,257.62,43.86,163.86,0.02,0,54.98,0.14,9570.29,1842.17,5891.59,3507.36,14216.22,2982.83,7409.21,3551.99,2.15,64.76,0.71,39.33,1.75,11409.44,3384.86,6184.2,3348.98,5.43,296.66,15.8,119.24,0.53,2.41,48.62
INUQ,Superior,58.451,-78.119,4,BAD,3,41024,3331.4,8.12,6404,3348,1.91,0,0,6632,370.8,5.59,3680,281.9,7.66,1.8,0.17,43927.05,2987.56,7060.27,3890.78,0,0,0,0,0,0.17,31420.24,2277.96,6318.1,3728.5,10337.63,2687.32,6741.85,3974.1,0,0,0,0,0,0,0,0.16,12872.94,2336.12,6079.08,3297.18,13534.17,2504.12,6587.87,3173.86,0,0,0,0,0,10979.64,3174.4,6589.55,3662.05,0,0,0,0,0,0,0
JOSN,Hearne,63.162,-91.542,4,BAD,6,36752,1597.8,4.35,6652,3611,1.84,0,0,6626,73.2,1.1,3783,148.4,3.92,1.75,0.17,37631.13,2862.49,6565.5,3885.75,0,0,0,0,0,0.17,10901.73,2914.7,6382.91,3745.82,26815.11,2924.87,6696.81,3891.82,0,0,0,0,0,0,0,0.16,12332.1,2234.77,5919.91,3513.93,12416.06,2499.63,7273.91,3624.81,0,0,0,0,0,10159.28,3169.28,6971.75,3717.35,0,0,0,0,0,0,0
KUGN,Rae,68.09,-90.062,4,GOOD,12,32698,3452.3,10.56,6465,3565,1.81,4.1,1.1,6601,97.5,1.48,3671,121.7,3.31,1.8,0.12,31265.71,2952.29,6632.93,3644.24,10.33,189.37,6.84,5.78,9.2,0.12,30507.3,2450.01,6591.41,3772.43,6128.25,2713.65,7114.55,3962.51,7.35,12.93,35.11,8.31,3.05,4.29,300.6,0.11,12738.4,2378.93,6011.4,3578.73,5028.48,2819.28,6856.95,3478.02,3.68,349.46,23.78,131.87,2.77,12424.96,3154.07,6836.55,3587.12,7.41,121,11.18,186.4,4.62,0.08,291.69
LAIN,Rae,69.109,-83.536,3,BAD,7,41223,3968.9,9.63,6943,3676,1.89,0,0,6956,469.5,6.75,3633,328.1,9.03,1.91,0.17,44864.04,2749.08,7425.39,3929.4,0,0,0,0,0,0.16,24562.25,2840.63,6699.36,3500.96,17250.24,2392.28,7321.64,3958.84,0,0,0,0,0,0,0,0.16,8813.71,2331.81,6080.45,3360.27,14364.11,2837.37,6290.48,3214.8,0,0,0,0,0,13814.34,3104.61,6948.97,3297.9,0,0,0,0,0,0,0
MANN,Hearne,62.289,-79.592,4,GOOD,11,33724,553.9,1.64,6680,3524,1.9,2,1.6,6690,48,0.72,3537,66.5,1.88,1.89,0.14,33291.53,2993.54,6634.76,3607.02,39.98,29.36,2.85,6.89,298.17,0.12,9173.28,2355.62,5928.51,3348.91,24359.17,2958.8,7015.9,3522.44,3.74,294.39,17.55,111.52,1.18,1.18,330.9,0.11,8668.58,2186.16,6166.34,3418.15,12109.47,2916.52,7392.67,3680.05,1.84,283.94,21.48,111.8,3.17,13570.41,3101.46,6466.83,3462.04,5.88,127.1,32.32,90.14,0.95,1.43,19.05
MARN,Rae,71.326,-79.374,2,BAD,7,40935,1942.8,4.75,6880,3980,1.73,0,0,6671,181.1,2.71,3796,192.2,5.06,1.76,0.16,42935.15,2687.51,6879.91,3979.63,0,0,0,0,0,0.16,32259.64,2181.91,6699.13,3896.47,8554.52,2878.65,6112.13,3494.64,0,0,0,0,0,0,0,0.17,10952.65,2319.17,6139.09,3497.76,14925.85,2840.96,6890.35,3657.78,0,0,0,0,0,13176.73,3015.39,6527.74,3608.39,0,0,0,0,0,0,0
MCF,Northern,82.648,-75.042,4,BAD,1,35895,2924,8.15,6600,3617,1.82,0,0,6692,325.1,4.86,3737,175.7,4.7,1.79,0.16,34944.17,2915.85,7051.4,3639.45,0,0,0,0,0,0.14,5204.68,2263.74,7497.74,3539.18,33971.2,2845.38,6253.48,4001.71,0,0,0,0,0,0,0,0.12,6406.08,2437.65,6377.26,3245.84,14129.33,2654.6,6506.94,3872.34,0,0,0,0,0,13029.07,3208.88,6822.97,3562.9,0,0,0,0,0,0,0
MCMN,Hearne,63.304,-92.298,3,GOOD,6,37628,1231.6,3.27,6206,3781,1.64,0.3,5.6,6199,84,1.36,3725,135.9,3.65,1.66,0.13,38523.17,2999.44,6275.98,3822.55,33.25,185.38,0.68,5.45,150.22,0.12,20121.83,2491.74,6378.1,3850.03,18014.8,2932.9,6024.71,3707.53,7.12,221.24,32.78,217.99,0.28,5.58,153.01,0.12,8022.73,2346.37,5971.96,3483.82,13981.66,2809.78,6046.66,3819.22,2.91,165.77,25.33,287.13,0.54,14218.69,3269.88,6248.42,3372.83,4.15,295.61,40.09,77.82,1.05,5.04,154.46
NOTN,Hearne,63.294,-78.135,4,BAD,9,37932,1522.2,4.01,6548,3608,1.81,0,0,6863,257.4,3.75,3836,234.5,6.11,1.79,0.16,39675.92,2965.13,6914.88,4090.01,0,0,0,0,0,0.16,9734.13,1782.02,6189.71,3760.56,27520.18,2663.07,7409.92,3798.68,0,0,0,0,0,0,0,0.15,9439.5,1909.99,5881.26,3558.81,13140.97,2739.68,7121.83,3975.54,0,0,0,0,0,14286.66,3351.54,6553.78,3354.17,0,0,0,0,0,0,0
NUNN,Rae,65.215,-91.078,3,BAD,6,35402,2098.6,5.93,6386,3677,1.74,0,0,6572,262.2,3.99,3739,226.8,6.07,1.76,0.18,37716.26,2729.73,6872.1,3989.17,0,0,0,0,0,0.17,18660.89,2579.36,6431.73,3771.08,16204.45,2929.24,6333.43,3573.47,0,0,0,0,0,0,0,0.19,9420.26,2387.44,6031.75,3384.34,11507.09,2971.03,6261.73,3648.05,0,0,0,0,0,12695.73,3355.11,6953.86,3577.31,0,0,0,0,0,0,0
POIN,Rae,72.701,-77.962,2,BAD,9,32488,1123.9,3.46,6356,3744,1.7,0,0,6308,211.6,3.35,3687,49.4,1.34,1.71,0.16,31384.81,2666.65,6355.71,3743.9,0,0,0,0,0,0.17,26281.38,2320.36,6013.48,3547.57,7350.14,2634.84,6300.41,4064.42,0,0,0,0,0,0,0,0.17,5567.01,2202.26,6109.63,3579.55,12269.28,2583.57,6741.08,3777.72,0,0,0,0,0,14611.01,2882.11,6426.47,3583.76,0,0,0,0,0,0,0
QILN,Rae,66.653,-86.371,4,GOOD,11,36387,1558.4,4.28,6359,3538,1.8,4.3,1.7,6566,220,3.35,3671,112.9,3.08,1.79,0.16,36646.38,2969,6512.94,3677.49,41.15,197.74,1.8,0.46,69.65,0.15,31522.72,2845.29,7002.2,3717.81,6276.06,2891.22,5830.71,4093.24,6.1,297.2,22.13,29.02,4.96,3.73,335.25,0.14,9361.73,2243.75,5882.71,3591.15,11503.55,2723.8,6749.44,3850.61,2.21,84.89,0.77,26.62,7.54,13849.36,3383.05,6402.92,3284.13,3.57,171.23,29.62,169.85,1.67,1.3,337.27
RES,Rae,74.689,-94.896,4,BAD,7,38157,2089,5.47,6533,3685,1.77,0,0,6493,192.9,2.97,3822,231.7,6.06,1.7,0.2,40436.17,2934.38,6272.88,4087.93,0,0,0,0,0,0.19,27355.78,2226.06,6464.57,3659.5,10345.16,2929.71,7070.51,3687.75,0,0,0,0,0,0,0,0.17,13295.37,2239.19,5925.16,3330.02,14748.75,2259.76,6763.68,3981.41,0,0,0,0,0,8289.32,3297.88,7287.92,3833.75,0,0,0,0,0,0,0
