thickn,rho,vp,vs,dip,strike,plunge,trend,ani
19918.680829054443,2722.9117879962564,6286.022995811806,3827.5388934269545,0.0,0.0,0.0,0.0,0.0
16372.376656015414,2873.8141338109463,6908.221476047342,3866.4445937913683,0.0,0.0,0.0,0.0,0.0
0.0,3500.0,8100.0,4500.0,0.0,0.0,0.0,0.0,0.0
