index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
9,6640,2454,6202,3412,0.0,0.0,73.07558179769725,244.10246718461025,2.7146815003191045
10,12982,2607,6722,3734,3.5661926767432917,160.41143424811003,40.48644722645935,291.702043309831,1.8012655204253025
11,8698,2962,6679,3583,5.774554471874278,45.9191007871343,54.185548859408186,148.93180828441228,3.2491793759504275
12,9647,2712,7193,4233,5.000410022305709,79.10491263046377,1.9985544476694235,337.17668443393165,2.036211863739585
13,0,3015,8578,4808,1.2692900836745433,241.61220425055745,29.41806560709369,55.56669939210271,8.281492012934153
