index,thickn,rho,vp,vs,dip,strike,plunge,trend,ani
9,5122,2538,6040,3450,0.0,0.0,11.159395885956346,193.95155619861387,6.474809855949146
10,14269,2729,6726,3661,2.267468317896643,66.70075679004663,28.070170320776928,100.72176657348966,6.447302995355099
11,8789,3223,6888,3740,3.014187393768136,243.29310049546245,35.42354982582209,111.84757133236246,3.546754057036285
12,10610,3113,7395,4023,6.673429020910482,259.96979071886784,21.161105818701415,222.3201405244197,6.49541452174167
13,0,2928,8765,4885,4.272926244169951,175.5615853082522,10.000074901187258,349.2013881760671,2.568840349625892
